MemTotal:       16001412 kB
MemFree:         9348608 kB
MemAvailable:   12301536 kB
Buffers:          325036 kB
Cached:          3114904 kB
SwapCached:            0 kB
Active:          3192164 kB
Inactive:        1686316 kB
Active(anon):    1947328 kB
Inactive(anon):        0 kB
Active(file):    1244836 kB
Inactive(file):  1686316 kB
Unevictable:      463060 kB
Mlocked:              32 kB
SwapTotal:       4194300 kB
SwapFree:        4194300 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3576 kB
Writeback:             0 kB
AnonPages:       1902060 kB
Mapped:           828940 kB
Shmem:            508788 kB
KReclaimable:     363620 kB
Slab:             605700 kB
SReclaimable:     363620 kB
SUnreclaim:       242080 kB
KernelStack:       16032 kB
PageTables:        40032 kB
SecPageTables:      4556 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12195004 kB
Committed_AS:   13288992 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      109276 kB
VmallocChunk:          0 kB
Percpu:            12960 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   421888 kB
ShmemPmdMapped:        0 kB
FileHugePages:     73728 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      836500 kB
DirectMap2M:     9281536 kB
DirectMap1G:     6291456 kB
